Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurring
Mind Body Studio: Yoga,04/11/2018,4:30:00 PM,04/11/2018,5:15:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/11/2018,5:30:00 PM,04/11/2018,6:15:00 PM,False,Yoga:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/11/2018,6:30:00 PM,04/11/2018,7:15:00 PM,False,Yoga Basics:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Closed for Program,04/12/2018,6:00:00 AM,04/12/2018,7:00:00 AM,False,Closed for Program:Staff:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Pilates Core,04/12/2018,9:15:00 AM,04/12/2018,10:00:00 AM,False,Pilates Core:Jamie F.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/12/2018,10:15:00 AM,04/12/2018,11:00:00 AM,False,Yoga Basics:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/12/2018,11:15:00 AM,04/12/2018,12:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/12/2018,12:15:00 PM,04/12/2018,1:00:00 PM,False,Yoga Basics:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: AT Mind in Motion,04/12/2018,1:15:00 PM,04/12/2018,2:00:00 PM,False,AT Mind in Motion:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Chair Yoga,04/12/2018,2:15:00 PM,04/12/2018,3:00:00 PM,False,Chair Yoga:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Warm Yoga Fusion,04/12/2018,4:00:00 PM,04/12/2018,5:00:00 PM,False,Warm Yoga Fusion:Ann F.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/12/2018,5:15:00 PM,04/12/2018,6:00:00 PM,False,Yoga:Ann F.:Mind Body Studio,Mind Body Studio,False,Y
